City,Cuisine Style,Ranking,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA,food,service,value,atmosphere,tr_rating_5,tr_rating_4,tr_rating_3,tr_rating_2,tr_rating_1,tr_ratings,profitrew,ratings_summary,ball
Paris,"['Bar', 'Pub']",12963.0,$$ - $$$,4.0,"[[], []]",/Restaurant_Review-g187147-d10746918-Reviews-Le_Perchoir-Paris_Ile_de_France.html,d10746918,35.0,35.0,30.0,40.0,52.0,39.0,11.0,4.0,10.0,116.0,78.44827586206897,3.5,4.0
Helsinki,"['European', 'Scandinavian', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']",106.0,$$ - $$$,97.0,"[['Very good reviews!', 'Fine dining in Hakaniemi'], ['12/05/2017', '10/29/2017']]",/Restaurant_Review-g189934-d6674944-Reviews-Ravintola_Kolmon3n-Helsinki_Uusimaa.html,d6674944,45.0,45.0,40.0,45.0,58.0,43.0,7.0,0.0,2.0,110.0,91.81818181818184,4.5,4.5
Edinburgh,['Vegetarian Friendly'],810.0,$$ - $$$,28.0,"[['Better than the Links', 'Ivy Black'], ['12/28/2017', '12/06/2017']]",/Restaurant_Review-g186525-d13129638-Reviews-Black_Ivy-Edinburgh_Scotland.html,d13129638,35.0,40.0,35.0,40.0,115.0,52.0,39.0,30.0,15.0,251.0,66.53386454183267,2.75,3.25
London,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",1669.0,$$$$,202.0,"[['Most exquisite', 'Delicious and authentic'], ['12/06/2017', '11/22/2017']]",/Restaurant_Review-g186338-d680417-Reviews-Quirinale-London_England.html,d680417,45.0,45.0,40.0,40.0,153.0,54.0,17.0,8.0,6.0,238.0,86.97478991596638,4.25,4.25
Bratislava,"['Italian', 'Mediterranean', 'European', 'Seafood', 'Vegetarian Friendly', 'Gluten Free Options']",37.0,$$$$,162.0,"[['Always the best in bratislava', 'Very good but pricey'], ['02/08/2018', '01/24/2018']]",/Restaurant_Review-g274924-d1112354-Reviews-Massimo_Ristorante-Bratislava_Bratislava_Region.html,d1112354,45.0,45.0,40.0,45.0,50.0,30.0,6.0,2.0,2.0,90.0,88.8888888888889,4.5,4.5
Paris,"['French', 'Cafe', 'Fast Food']",5093.0,$,24.0,"[['Lunch Break', 'Good to Quick Bite'], ['09/07/2017', '09/02/2017']]",/Restaurant_Review-g187147-d8458643-Reviews-Le_Comptoir_du_Louvre-Paris_Ile_de_France.html,d8458643,40.0,40.0,40.0,40.0,6.0,9.0,4.0,0.0,0.0,19.0,78.94736842105263,3.0,4.0
Lisbon,"['European', 'Portuguese']",3704.0,$,2.0,"[[], []]",/Restaurant_Review-g189158-d8758873-Reviews-Lisboa_City-Lisbon_Lisbon_District_Central_Portugal.html,d8758873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Budapest,,2330.0,,,"[[], []]",/Restaurant_Review-g274887-d8286886-Reviews-Beer_N_Scooter-Budapest_Central_Hungary.html,d8286886,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
Helsinki,"['European', 'Scandinavian']",771.0,,2.0,"[['Big group supper', 'Good food but very slow service :('], ['01/07/2018', '10/11/2017']]",/Restaurant_Review-g189934-d12947542-Reviews-Bistro_Gimis-Helsinki_Uusimaa.html,d12947542,35.0,45.0,35.0,40.0,2.0,10.0,3.0,2.0,1.0,18.0,66.66666666666666,3.0,3.25
Stockholm,['Italian'],605.0,,13.0,"[['Good food', 'Good pizza'], ['12/02/2017', '10/29/2017']]",/Restaurant_Review-g189852-d12716384-Reviews-Il_Molo-Stockholm.html,d12716384,40.0,40.0,40.0,40.0,4.0,7.0,3.0,2.0,0.0,16.0,68.75,3.0,3.5
Rome,,1209.0,,306.0,"[['Very pretentious, but drinks are top notch', 'A private cocktail bar open to the public'], ['09/11/2017', '06/25/2017']]",/Restaurant_Review-g187791-d7818546-Reviews-Jerry_Thomas_Speakeasy-Rome_Lazio.html,d7818546,45.0,40.0,40.0,45.0,88.0,16.0,8.0,5.0,11.0,128.0,81.25,3.0,4.0
Milan,['Italian'],4234.0,$$ - $$$,36.0,"[['GREAT APERITIVO WITH STYLE', 'Disappointing'], ['05/16/2015', '02/22/2015']]",/Restaurant_Review-g187849-d7209625-Reviews-M_ama_Milano-Milan_Lombardy.html,d7209625,35.0,40.0,40.0,40.0,1.0,0.0,0.0,0.0,1.0,2.0,50.0,4.0,2.5
Munich,['Greek'],1987.0,$,10.0,"[['You always feel very Welcome at this cozy...'], ['03/20/2010']]",/Restaurant_Review-g187309-d958943-Reviews-Wrossis-Munich_Upper_Bavaria_Bavaria.html,d958943,40.0,35.0,35.0,40.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,2.75,5.0
Hamburg,,1000.0,,30.0,"[['Surprisingly good pizza', 'Yummy'], ['09/28/2017', '09/19/2016']]",/Restaurant_Review-g187331-d1344523-Reviews-Il_Cammino-Hamburg.html,d1344523,45.0,45.0,45.0,45.0,2.0,2.0,2.0,0.0,1.0,7.0,57.14285714285714,3.5,2.75
