ta_id,food,service,value,atmosphere,tr_rating_5,tr_rating_4,tr_rating_3,tr_rating_2,tr_rating_1,tr_ratings,profitrew,ratings_summary,ball
d10746918,35.0,35.0,30.0,40.0,52.0,39.0,11.0,4.0,10.0,116.0,78.44827586206897,3.5,4.0
d6674944,45.0,45.0,40.0,45.0,58.0,43.0,7.0,0.0,2.0,110.0,91.81818181818183,4.5,4.5
d13129638,35.0,40.0,35.0,40.0,115.0,52.0,39.0,30.0,15.0,251.0,66.53386454183267,2.75,3.25
d680417,45.0,45.0,40.0,40.0,153.0,54.0,17.0,8.0,6.0,238.0,86.97478991596638,4.25,4.25
d1112354,45.0,45.0,40.0,45.0,50.0,30.0,6.0,2.0,2.0,90.0,88.88888888888889,4.5,4.5
d8458643,40.0,40.0,40.0,40.0,6.0,9.0,4.0,0.0,0.0,19.0,78.94736842105263,3.0,4.0
d8758873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
d8286886,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d12947542,35.0,45.0,35.0,40.0,2.0,10.0,3.0,2.0,1.0,18.0,66.66666666666666,3.0,3.25
d12716384,40.0,40.0,40.0,40.0,4.0,7.0,3.0,2.0,0.0,16.0,68.75,3.0,3.5
d7818546,45.0,40.0,40.0,45.0,88.0,16.0,8.0,5.0,11.0,128.0,81.25,3.0,4.0
d7209625,35.0,40.0,40.0,40.0,1.0,0.0,0.0,0.0,1.0,2.0,50.0,4.0,2.5
d958943,40.0,35.0,35.0,40.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,2.75,5.0
d1344523,45.0,45.0,45.0,45.0,2.0,2.0,2.0,0.0,1.0,7.0,57.14285714285714,3.5,2.75
d1093021,45.0,40.0,40.0,40.0,81.0,25.0,7.0,6.0,15.0,134.0,79.1044776119403,4.0,4.0
d7605609,35.0,35.0,35.0,35.0,4.0,6.0,0.0,0.0,2.0,12.0,83.33333333333334,2.5,4.25
d11850449,35.0,35.0,30.0,35.0,4.0,4.0,4.0,0.0,1.0,13.0,61.53846153846154,2.5,3.0
d2188276,40.0,40.0,35.0,40.0,126.0,135.0,37.0,23.0,28.0,349.0,74.78510028653295,4.0,3.75
d8435085,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,66.66666666666666,0.0,3.25
d2177920,45.0,45.0,40.0,40.0,65.0,30.0,8.0,10.0,7.0,120.0,79.16666666666666,4.25,4.0
d8334752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d11749014,45.0,45.0,45.0,45.0,90.0,22.0,5.0,4.0,8.0,129.0,86.82170542635659,3.5,4.25
d1216215,40.0,40.0,40.0,35.0,8.0,7.0,3.0,1.0,0.0,19.0,78.94736842105263,4.0,4.0
d7653791,35.0,35.0,35.0,35.0,2.0,5.0,2.0,1.0,0.0,10.0,70.0,2.5,3.5
d6539478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d13202032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2061134,40.0,40.0,40.0,35.0,37.0,16.0,1.0,0.0,3.0,57.0,92.98245614035088,4.0,4.75
d10133841,50.0,50.0,50.0,50.0,6.0,1.0,0.0,0.0,0.0,7.0,100.0,3.75,5.0
d5795143,35.0,35.0,35.0,35.0,5.0,9.0,8.0,1.0,3.0,26.0,53.84615384615385,2.5,2.75
d1495732,35.0,35.0,35.0,40.0,61.0,66.0,23.0,25.0,29.0,204.0,62.254901960784316,3.5,3.0
d8537746,30.0,35.0,30.0,35.0,6.0,7.0,2.0,1.0,3.0,19.0,68.42105263157895,2.5,3.5
d11953078,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d1018463,35.0,35.0,35.0,40.0,512.0,363.0,190.0,136.0,170.0,1371.0,63.82202771699489,3.5,3.25
d3532770,40.0,40.0,40.0,35.0,1.0,3.0,3.0,0.0,0.0,7.0,57.14285714285714,4.0,2.75
d9597870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d3256188,40.0,40.0,40.0,35.0,8.0,1.0,0.0,0.0,0.0,9.0,100.0,4.0,5.0
d2095858,45.0,45.0,40.0,45.0,65.0,58.0,11.0,2.0,1.0,137.0,89.78102189781022,4.5,4.5
