,fb1_positive
0,0
1,2
2,1
3,3
4,2
5,1
6,0
7,0
8,1
9,1
10,1
11,1
12,2
13,1
14,1
15,2
16,2
17,1
18,0
19,4
20,0
21,1
22,2
23,1
24,0
25,0
26,3
27,1
28,0
29,1
30,2
31,1
32,2
33,1
34,2
35,1
36,2
37,1
38,3
39,3
40,0
41,0
42,2
43,0
44,0
45,1
46,0
47,1
48,0
49,2
50,1
51,3
52,1
53,0
54,0
55,1
56,0
57,2
58,0
59,0
60,1
61,2
62,2
63,1
64,2
65,0
66,0
67,1
68,2
69,1
70,2
71,3
72,2
73,2
74,0
75,2
76,2
77,0
78,0
79,0
80,2
81,0
82,1
83,0
84,2
85,2
86,1
87,1
88,1
89,2
90,3
91,0
92,2
93,1
94,0
95,1
96,3
97,0
98,2
99,1
100,0
101,2
102,3
103,2
104,1
105,3
106,2
107,1
108,2
109,0
110,3
111,0
112,2
113,0
114,0
115,0
116,2
117,1
118,0
119,1
120,0
121,1
122,2
123,0
124,0
125,0
126,0
127,0
128,0
129,3
130,1
131,0
132,3
133,2
134,0
135,2
136,1
137,1
138,1
139,1
140,0
141,1
142,0
143,0
144,2
145,2
146,1
147,4
148,2
149,2
150,1
151,2
152,1
153,0
154,0
155,1
156,3
157,1
158,3
159,1
160,0
161,1
162,0
163,2
164,0
165,2
166,0
167,0
168,0
169,1
170,2
171,3
172,3
173,3
174,1
175,0
176,1
177,2
178,3
179,0
180,0
181,1
182,1
183,1
184,0
185,3
186,0
187,1
188,1
189,3
190,3
191,1
192,1
193,0
194,3
195,0
196,1
197,3
198,0
199,2
200,0
201,2
202,2
203,0
204,0
205,3
206,2
207,1
208,4
209,2
210,2
211,2
212,0
213,1
214,1
215,2
216,2
217,0
218,3
219,2
220,1
221,0
222,1
223,1
224,2
225,0
226,0
227,0
228,0
229,2
230,1
231,1
232,0
233,1
234,0
235,2
236,3
237,0
238,1
239,2
240,0
241,1
242,0
243,2
244,1
245,1
246,1
247,2
248,1
249,1
250,3
251,1
252,2
253,1
254,1
255,1
256,3
257,2
258,0
259,0
260,3
261,1
262,2
263,1
264,1
265,1
266,3
267,1
268,2
269,1
270,1
271,0
272,3
273,0
274,2
275,2
276,1
277,1
278,0
279,0
280,1
281,1
282,2
283,0
284,1
285,0
286,3
287,3
288,0
289,0
290,2
291,2
292,0
293,2
294,0
295,0
296,1
297,1
298,3
299,0
300,3
301,0
302,0
303,2
304,2
305,0
306,2
307,3
308,2
309,2
310,0
311,4
312,1
313,1
314,2
315,0
316,2
317,2
318,1
319,1
320,3
321,1
322,2
323,0
324,0
325,0
326,1
327,2
328,3
329,2
330,0
331,3
332,0
333,1
334,0
335,1
336,2
337,0
338,1
339,1
340,0
341,3
342,0
343,3
344,0
345,1
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,2
354,1
355,1
356,3
357,0
358,2
359,3
360,1
361,0
362,2
363,0
364,0
365,2
366,1
367,1
368,1
369,0
370,1
371,2
372,0
373,2
374,0
375,2
376,2
377,0
378,0
379,1
380,0
381,2
382,0
383,2
384,2
385,0
386,2
387,0
388,1
389,1
390,2
391,0
392,0
393,1
394,2
395,2
396,1
397,2
398,2
399,0
400,2
401,0
402,0
403,0
404,2
405,2
406,1
407,0
408,1
409,1
410,0
411,1
412,1
413,2
414,1
415,2
416,1
417,2
418,0
419,0
420,2
421,0
422,2
423,1
424,3
425,2
426,1
427,0
428,3
429,1
430,2
431,3
432,0
433,2
434,2
435,3
436,0
437,0
438,2
439,0
440,1
441,2
442,0
443,0
444,1
445,0
446,0
447,1
448,2
449,0
450,0
451,2
452,1
453,2
454,0
455,0
456,0
457,0
458,1
459,3
460,1
461,1
462,2
463,2
464,1
465,1
466,0
467,1
468,1
469,2
470,2
471,0
472,0
473,2
474,2
475,2
476,0
477,1
478,2
479,2
480,0
481,3
482,1
483,0
484,1
485,0
486,0
487,1
488,0
489,0
490,0
491,1
492,1
493,2
494,0
495,0
496,1
497,0
498,2
499,0
500,1
501,2
502,1
503,1
504,0
505,1
506,0
507,0
508,1
509,2
510,2
511,2
512,0
513,2
514,0
515,1
516,1
517,2
518,2
519,1
520,0
521,0
522,3
523,2
524,1
525,1
526,1
527,1
528,0
529,3
530,2
531,1
532,2
533,1
534,2
535,0
536,5
537,0
538,2
539,2
540,2
541,1
542,3
543,2
544,0
545,0
546,3
547,0
548,3
549,0
550,0
551,0
552,2
553,2
554,1
555,1
556,2
557,0
558,1
559,0
560,0
561,3
562,0
563,0
564,1
565,0
566,2
567,2
568,3
569,2
570,1
571,1
572,0
573,1
574,1
575,2
576,0
577,1
578,2
579,2
580,0
581,3
582,4
583,0
584,0
585,0
586,0
587,2
588,1
589,1
590,1
591,0
592,0
593,1
594,2
595,0
596,2
597,1
598,2
599,1
600,3
601,2
602,0
603,1
604,2
605,0
606,0
607,0
608,0
609,3
610,2
611,1
612,2
613,1
614,2
615,1
616,3
617,3
618,3
619,0
620,0
621,1
622,2
623,0
624,1
625,2
626,0
627,2
628,1
629,1
630,1
631,2
632,3
633,1
634,3
635,3
636,0
637,2
638,2
639,1
640,0
641,0
642,0
643,1
644,0
645,0
646,2
647,2
648,1
649,0
650,0
651,2
652,0
653,2
654,0
655,2
656,3
657,1
658,2
659,2
660,1
661,2
662,2
663,0
664,0
665,3
666,0
667,0
668,1
669,0
670,2
671,0
672,2
673,0
674,1
675,0
676,0
677,0
678,0
679,5
680,2
681,2
682,2
683,1
684,0
685,1
686,2
687,1
688,3
689,1
690,1
691,0
692,2
693,1
694,1
695,2
696,1
697,3
698,1
699,3
700,3
701,2
702,3
703,2
704,0
705,2
706,0
707,3
708,1
709,0
710,0
711,2
712,0
713,0
714,2
715,0
716,0
717,1
718,0
719,2
720,1
721,1
722,2
723,1
724,1
725,1
726,2
727,3
728,1
729,2
730,0
731,1
732,1
733,1
734,2
735,3
736,1
737,4
738,3
739,3
740,1
741,2
742,2
743,0
744,0
745,0
746,1
747,2
748,2
749,0
750,3
751,2
752,2
753,1
754,2
755,2
756,1
757,0
758,0
759,2
760,2
761,0
762,2
763,0
764,1
765,1
766,0
767,1
768,5
769,0
770,1
771,1
772,2
773,2
774,0
775,0
776,1
777,0
778,2
779,1
780,0
781,4
782,2
783,0
784,0
785,1
786,1
787,1
788,1
789,2
790,0
791,1
792,2
793,0
794,2
795,4
796,0
797,1
798,1
799,0
800,2
801,0
802,0
803,3
804,1
805,0
806,1
807,1
808,3
809,0
810,0
811,1
812,1
813,1
814,2
815,1
816,0
817,2
818,2
819,1
820,1
821,2
822,1
823,2
824,2
825,0
826,1
827,1
828,0
829,1
830,1
831,2
832,2
833,1
834,0
835,1
836,3
837,0
838,2
839,3
840,1
841,0
842,0
843,1
844,1
845,1
846,2
847,2
848,2
849,0
850,1
851,2
852,1
853,2
854,0
855,1
856,0
857,2
858,2
859,2
860,3
861,0
862,2
863,2
864,1
865,2
866,2
867,3
868,0
869,1
870,0
871,0
872,0
873,2
874,2
875,1
876,2
877,2
878,1
879,0
880,0
881,0
882,2
883,0
884,2
885,0
886,1
887,0
888,0
889,1
890,0
891,3
892,1
893,1
894,2
895,0
896,4
897,2
898,2
899,1
900,0
901,3
902,2
903,2
904,3
905,2
906,1
907,1
908,0
909,1
910,2
911,0
912,1
913,2
914,0
915,0
916,2
917,0
918,2
919,1
920,1
921,3
922,1
923,1
924,2
925,1
926,0
927,2
928,2
929,1
930,2
931,3
932,0
933,1
934,3
935,0
936,2
937,0
938,3
939,2
940,1
941,2
942,1
943,2
944,1
945,2
946,0
947,0
948,2
949,2
950,2
951,0
952,1
953,0
954,1
955,2
956,0
957,5
958,1
959,0
960,2
961,3
962,2
963,2
964,2
965,1
966,1
967,0
968,0
969,1
970,2
971,0
972,0
973,1
974,2
975,0
976,1
977,1
978,1
979,2
980,3
981,0
982,0
983,2
984,0
985,0
986,0
987,2
988,2
989,3
990,2
991,1
992,1
993,0
994,0
995,1
996,1
997,1
998,2
999,1
1000,0
1001,0
1002,2
1003,1
1004,2
1005,2
1006,1
1007,2
1008,2
1009,2
1010,1
1011,1
1012,0
1013,1
1014,1
1015,2
1016,2
1017,0
1018,2
1019,2
1020,2
1021,1
1022,0
1023,1
1024,2
1025,0
1026,0
1027,2
1028,1
1029,1
1030,1
1031,0
1032,1
1033,2
1034,0
1035,1
1036,1
1037,3
1038,0
1039,1
1040,1
1041,1
1042,2
1043,2
1044,2
1045,3
1046,1
1047,0
1048,2
1049,1
1050,0
1051,2
1052,2
1053,1
1054,1
1055,2
1056,0
1057,3
1058,1
1059,2
1060,1
1061,2
1062,1
1063,4
1064,2
1065,1
1066,2
1067,0
1068,0
1069,1
1070,3
1071,0
1072,1
1073,2
1074,0
1075,1
1076,0
1077,0
1078,2
1079,1
1080,2
1081,1
1082,1
1083,0
1084,4
1085,0
1086,0
1087,0
1088,3
1089,1
1090,1
1091,0
1092,0
1093,3
1094,3
1095,1
1096,2
1097,4
1098,0
1099,0
1100,2
1101,0
1102,2
1103,1
1104,2
1105,1
1106,1
1107,2
1108,2
1109,0
1110,1
1111,2
1112,2
1113,2
1114,0
1115,1
1116,0
1117,3
1118,2
1119,2
1120,3
1121,1
1122,2
1123,3
1124,3
1125,1
1126,1
1127,1
1128,0
1129,1
1130,0
1131,0
1132,2
1133,1
1134,0
1135,1
1136,4
1137,2
1138,1
1139,3
1140,0
1141,3
1142,2
1143,2
1144,1
1145,1
1146,0
1147,3
1148,3
1149,2
1150,2
1151,2
1152,0
1153,1
1154,2
1155,0
1156,1
1157,0
1158,1
1159,2
1160,0
1161,0
1162,2
1163,0
1164,1
1165,0
1166,1
1167,2
1168,2
1169,1
1170,1
1171,3
1172,3
1173,1
1174,0
1175,0
1176,1
1177,0
1178,0
1179,3
1180,2
1181,2
1182,1
1183,2
1184,2
1185,1
1186,4
1187,2
1188,0
1189,1
1190,0
1191,0
1192,0
1193,1
1194,2
1195,3
1196,3
1197,0
1198,1
1199,1
1200,0
1201,0
1202,1
1203,3
1204,0
1205,2
1206,1
1207,0
1208,0
1209,1
1210,2
1211,0
1212,2
1213,0
1214,1
1215,2
1216,1
1217,3
1218,0
1219,1
1220,1
1221,0
1222,0
1223,1
1224,0
1225,1
1226,1
1227,1
1228,0
1229,2
1230,2
1231,1
1232,0
1233,2
