ta_id,tr_ratings,profitrew,ratings_summary,ball
d1912643,101.0,60.396039603960396,3.5,3.0
d7992032,4.0,75.0,0.0,3.75
d8632781,828.0,82.36714975845409,4.5,4.0
d1358776,3.0,100.0,0.0,5.0
d6864963,23.0,82.6086956521739,3.5,4.25
d12503536,25.0,80.0,3.0,4.0
d5808504,11.0,90.9090909090909,3.0,4.5
d3199765,2.0,50.0,0.0,2.5
d12845029,1.0,100.0,0.0,5.0
d8020681,18.0,72.2222222222222,2.75,3.5
d10696479,12.0,25.0,2.25,1.25
d12402429,148.0,77.02702702702703,3.25,3.75
d2259559,331.0,64.65256797583079,3.5,3.25
d12107166,3.0,100.0,0.0,5.0
d10859423,2.0,100.0,0.0,5.0
d6633059,36.0,63.88888888888889,3.5,3.25
d10266473,1.0,100.0,0.0,5.0
d8659568,7.0,85.71428571428571,0.0,4.25
d3702312,19.0,84.21052631578947,4.0,4.25
d8155327,4.0,50.0,2.5,2.5
d10524693,0.0,0.0,0.0,0.0
d10058810,0.0,0.0,0.0,0.0
d2508041,92.0,64.13043478260869,2.5,3.25
d1018940,284.0,78.52112676056338,4.0,4.0
d7617571,17.0,17.647058823529417,2.0,1.0
d12018194,2.0,100.0,0.0,5.0
d10060659,1.0,100.0,0.0,5.0
d11616946,0.0,0.0,0.0,0.0
d2040769,1.0,100.0,0.0,5.0
d5776152,16.0,18.75,0.0,1.0
d11841754,8.0,75.0,2.5,3.75
d3591150,0.0,0.0,0.0,0.0
d8791087,1.0,100.0,0.0,5.0
d3543959,4.0,50.0,0.0,2.5
d5263694,4.0,100.0,5.0,5.0
d10302313,1.0,100.0,3.75,5.0
d3267260,3.0,33.33333333333333,3.0,1.75
d13322935,11.0,63.63636363636363,3.5,3.25
d3543081,0.0,0.0,0.0,0.0
d12447161,46.0,63.04347826086957,3.25,3.25
d12354572,18.0,94.44444444444444,0.0,4.75
d953033,37.0,48.64864864864865,3.0,2.5
d6031001,31.0,90.32258064516128,3.25,4.5
d5799345,8.0,75.0,2.5,3.75
d5981466,2.0,100.0,0.0,5.0
d7276832,15.0,60.0,2.0,3.0
d12550964,36.0,22.222222222222218,2.25,1.0
d4150215,273.0,78.38827838827841,4.0,4.0
d7952588,99.0,84.84848484848484,4.0,4.25
d719083,0.0,0.0,0.0,0.0
d5408595,7.0,28.57142857142857,0.0,1.5
d12391114,8.0,75.0,2.5,3.75
d7332770,2.0,100.0,3.25,5.0
d1785149,449.0,83.96436525612472,4.0,4.25
d4588301,213.0,85.44600938967136,4.25,4.25
d7123553,1.0,100.0,0.0,5.0
d4295258,0.0,0.0,0.0,0.0
d697485,1.0,100.0,0.0,5.0
d4353632,8.0,87.5,4.0,4.5
d1035491,2.0,100.0,0.0,5.0
d12676684,16.0,87.5,3.0,4.5
d11770289,2.0,100.0,0.0,5.0
d5587837,5.0,40.0,4.5,2.0
d813990,989.0,82.40647118301314,4.25,4.0
d2259146,2328.0,88.23024054982818,4.5,4.5
d10073699,3.0,33.33333333333333,0.0,1.75
d1099373,415.0,72.77108433734941,4.0,3.75
d797017,11.0,100.0,4.0,5.0
d11687952,8.0,75.0,2.75,3.75
d1019904,41.0,82.92682926829268,4.0,4.25
d4043773,10.0,80.0,3.0,4.0
d4226084,0.0,0.0,0.0,0.0
d13172414,79.0,94.93670886075951,3.75,4.75
d12911907,3.0,33.33333333333333,0.0,1.75
d3322305,92.0,79.34782608695652,3.5,4.0
d7805333,3.0,100.0,0.0,5.0
d6432242,30.0,90.0,4.5,4.5
d2478316,96.0,81.25,4.0,4.0
d4600249,2.0,50.0,2.5,2.5
d696117,1552.0,91.6237113402062,4.5,4.5
d2176100,26.0,53.846153846153854,3.0,2.75
d3345223,16.0,37.5,3.0,2.0
d7361724,11.0,100.0,4.5,5.0
d5532357,6.0,83.33333333333334,3.5,4.25
d1359957,60.0,46.66666666666666,3.5,2.25
d2589168,7.0,71.42857142857143,3.75,3.5
d10027275,5.0,100.0,3.5,5.0
d1125197,9.0,88.8888888888889,3.5,4.5
d9459585,724.0,92.95580110497238,3.5,4.75
d5599563,14.0,78.57142857142857,4.5,4.0
d7623654,2.0,100.0,3.5,5.0
d2632522,14.0,71.42857142857143,3.0,3.5
d7332678,18.0,55.555555555555564,2.5,2.75
d10485816,15.0,86.66666666666669,3.25,4.25
d11688138,65.0,15.384615384615385,1.75,0.75
d5943832,511.0,54.794520547945204,3.5,2.75
d4768085,10.0,10.0,2.0,0.5
d2255569,23.0,91.30434782608695,4.25,4.5
d4597916,11.0,100.0,3.0,5.0
d7916036,18.0,94.44444444444444,3.0,4.75
d12350248,4.0,75.0,0.0,3.75
d1109944,39.0,79.48717948717949,3.25,4.0
d13197631,25.0,92.0,3.5,4.5
d918784,68.0,72.05882352941177,3.0,3.5
d8772965,3.0,66.66666666666666,0.0,3.25
d1324029,0.0,0.0,0.0,0.0
d6632829,0.0,0.0,0.0,0.0
d11667577,0.0,0.0,0.0,0.0
d12243659,1.0,100.0,0.0,5.0
d2445499,4.0,75.0,2.5,3.75
d2577881,0.0,0.0,0.0,0.0
d11951657,9.0,77.7777777777778,0.0,4.0
d751711,842.0,88.47980997624703,4.0,4.5
d3902868,2.0,50.0,3.5,2.5
d5487718,9.0,100.0,4.0,5.0
d7995801,4.0,50.0,0.0,2.5
d1331796,11.0,72.72727272727273,4.0,3.75
d8536895,9.0,66.66666666666666,2.75,3.25
d1328183,2.0,100.0,0.0,5.0
d10392913,30.0,76.66666666666667,2.5,3.75
d1097475,37.0,56.75675675675675,3.5,2.75
d7967318,2.0,100.0,3.0,5.0
d797737,111.0,81.98198198198196,4.0,4.0
d2226584,16.0,43.75,3.25,2.25
d13174390,0.0,0.0,0.0,0.0
d4052905,418.0,71.29186602870813,4.0,3.5
d5504724,279.0,76.34408602150538,3.5,3.75
d12681857,4.0,100.0,2.75,5.0
d7241440,284.0,63.02816901408451,3.0,3.25
d13094972,6.0,66.66666666666666,2.5,3.25
d5442784,15.0,80.0,0.0,4.0
d4942642,5.0,100.0,3.25,5.0
d2524119,36.0,94.44444444444444,4.5,4.75
d4770241,1.0,100.0,0.0,5.0
d8797372,124.0,87.09677419354837,3.25,4.25
d1496204,73.0,91.78082191780823,4.5,4.5
d11754798,3.0,66.66666666666666,2.75,3.25
d4085056,14.0,100.0,4.5,5.0
d12867794,13.0,100.0,0.0,5.0
d779921,0.0,0.0,0.0,0.0
d8118086,0.0,0.0,0.0,0.0
d2321047,9.0,88.8888888888889,3.75,4.5
d7994738,46.0,52.17391304347826,1.75,2.5
d10226097,0.0,0.0,0.0,0.0
d3612769,6.0,100.0,4.0,5.0
d697526,352.0,43.75,2.75,2.25
d10619071,0.0,0.0,0.0,0.0
d4600226,2.0,100.0,0.0,5.0
d10064175,88.0,95.45454545454544,3.25,4.75
d4476199,35.0,82.85714285714286,3.75,4.25
d9714837,0.0,0.0,0.0,0.0
d6403079,122.0,37.70491803278689,3.0,2.0
d5867903,9.0,88.8888888888889,3.5,4.5
d680500,1386.0,53.96825396825397,3.25,2.75
d12111665,30.0,96.66666666666669,3.0,4.75
d5058767,14.0,100.0,4.5,5.0
d12949592,2.0,100.0,0.0,5.0
d13087286,14.0,92.85714285714286,0.0,4.75
d3671977,0.0,0.0,0.0,0.0
d1341738,91.0,84.61538461538461,4.25,4.25
d12556149,5.0,80.0,0.0,4.0
d11999809,1.0,100.0,0.0,5.0
d12710453,0.0,0.0,0.0,0.0
d4093614,58.0,93.10344827586206,4.5,4.75
d11995686,1.0,0.0,0.0,0.0
d694885,45.0,91.11111111111113,4.5,4.5
d2470800,200.0,93.0,4.5,4.75
d13284434,4.0,100.0,3.25,5.0
d13206789,25.0,80.0,3.5,4.0
d10336129,2.0,100.0,2.75,5.0
d4068550,87.0,72.41379310344827,4.0,3.5
d807906,64.0,68.75,4.0,3.5
d11998026,20.0,80.0,2.75,4.0
d11721387,50.0,98.0,3.5,5.0
d10498197,1.0,0.0,0.0,0.0
d12441400,2.0,100.0,2.75,5.0
d2722599,0.0,0.0,0.0,0.0
d7949523,0.0,0.0,0.0,0.0
d8734791,10.0,100.0,3.0,5.0
d2328380,15.0,93.33333333333331,4.0,4.75
d12068247,0.0,0.0,0.0,0.0
d10520643,5.0,40.0,2.0,2.0
d8401717,7.0,71.42857142857143,0.0,3.5
d2424319,1.0,100.0,0.0,5.0
d10677156,25.0,88.0,3.5,4.5
d9562461,1.0,100.0,3.0,5.0
d5979704,1.0,100.0,0.0,5.0
d13139218,2.0,100.0,0.0,5.0
d7214349,26.0,80.76923076923076,3.75,4.0
d3193915,3.0,100.0,0.0,5.0
d3691545,34.0,91.17647058823529,4.25,4.5
d795702,203.0,84.72906403940887,4.0,4.25
d2697097,4.0,75.0,4.0,3.75
d8124300,649.0,91.83359013867486,3.25,4.5
d3316640,27.0,62.96296296296296,4.0,3.25
d13001826,10.0,90.0,2.75,4.5
d793183,961.0,75.6503642039542,4.0,3.75
d12181566,9.0,88.8888888888889,3.0,4.5
d10242690,22.0,68.18181818181817,3.0,3.5
d7243246,0.0,0.0,0.0,0.0
d733450,398.0,86.18090452261306,4.0,4.25
d4014123,0.0,0.0,0.0,0.0
d10735345,2.0,0.0,0.0,0.0
d13198202,1.0,100.0,3.0,5.0
d5532050,43.0,69.76744186046511,3.0,3.5
d2085183,183.0,42.076502732240435,3.5,2.0
d6946964,14.0,92.85714285714286,3.0,4.75
d8661176,25.0,80.0,3.0,4.0
d8293300,14.0,50.0,2.5,2.5
d3873744,49.0,91.83673469387756,4.0,4.5
