ta_id,food,service,value,atmosphere,tr_rating_5,tr_rating_4,tr_rating_3,tr_rating_2,tr_rating_1,tr_ratings,profitrew,ratings_summary,ball
d1912643,35.0,40.0,35.0,35.0,19.0,42.0,20.0,14.0,6.0,101.0,60.396039603960396,3.5,3.0
d7992032,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,75.0,0.0,3.75
d8632781,45.0,45.0,40.0,45.0,484.0,198.0,82.0,35.0,29.0,828.0,82.3671497584541,4.5,4.0
d1358776,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,5.0
d6864963,35.0,35.0,35.0,40.0,6.0,13.0,3.0,1.0,0.0,23.0,82.6086956521739,3.5,4.25
d12503536,40.0,35.0,40.0,40.0,15.0,5.0,1.0,1.0,3.0,25.0,80.0,3.0,4.0
d5808504,45.0,40.0,40.0,45.0,5.0,5.0,0.0,1.0,0.0,11.0,90.9090909090909,3.0,4.5
d3199765,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.5
d12845029,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d8020681,40.0,35.0,35.0,40.0,7.0,6.0,3.0,0.0,2.0,18.0,72.22222222222221,2.75,3.5
d10696479,30.0,30.0,30.0,30.0,0.0,3.0,4.0,1.0,4.0,12.0,25.0,2.25,1.25
d12402429,45.0,40.0,45.0,45.0,85.0,29.0,14.0,9.0,11.0,148.0,77.02702702702703,3.25,3.75
d2259559,35.0,35.0,35.0,35.0,141.0,73.0,45.0,25.0,47.0,331.0,64.6525679758308,3.5,3.25
d12107166,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,5.0
d10859423,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
d6633059,35.0,35.0,35.0,35.0,10.0,13.0,4.0,2.0,7.0,36.0,63.888888888888886,3.5,3.25
d10266473,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d8659568,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,7.0,85.71428571428571,0.0,4.25
d3702312,40.0,45.0,40.0,40.0,7.0,9.0,1.0,2.0,0.0,19.0,84.21052631578947,4.0,4.25
d8155327,35.0,30.0,35.0,35.0,1.0,1.0,0.0,1.0,1.0,4.0,50.0,2.5,2.5
d10524693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d10058810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2508041,35.0,35.0,35.0,35.0,40.0,19.0,7.0,12.0,14.0,92.0,64.13043478260869,2.5,3.25
d1018940,45.0,45.0,35.0,40.0,128.0,95.0,39.0,13.0,9.0,284.0,78.52112676056338,4.0,4.0
d7617571,25.0,35.0,25.0,30.0,1.0,2.0,7.0,6.0,1.0,17.0,17.647058823529413,2.0,1.0
d12018194,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
d10060659,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d11616946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2040769,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d5776152,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,7.0,16.0,18.75,0.0,1.0
d11841754,35.0,35.0,35.0,35.0,3.0,3.0,0.0,0.0,2.0,8.0,75.0,2.5,3.75
d3591150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d8791087,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d3543959,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,50.0,0.0,2.5
d5263694,50.0,50.0,50.0,45.0,4.0,0.0,0.0,0.0,0.0,4.0,100.0,5.0,5.0
d10302313,50.0,50.0,50.0,50.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,3.75,5.0
d3267260,25.0,30.0,25.0,35.0,1.0,0.0,1.0,1.0,0.0,3.0,33.33333333333333,3.0,1.75
d13322935,45.0,45.0,45.0,45.0,6.0,1.0,2.0,0.0,2.0,11.0,63.63636363636363,3.5,3.25
d3543081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d12447161,30.0,35.0,30.0,35.0,14.0,15.0,7.0,4.0,6.0,46.0,63.04347826086957,3.25,3.25
d12354572,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,1.0,18.0,94.44444444444444,0.0,4.75
d953033,30.0,30.0,30.0,30.0,4.0,14.0,9.0,7.0,3.0,37.0,48.64864864864865,3.0,2.5
d6031001,45.0,45.0,40.0,45.0,19.0,9.0,2.0,1.0,0.0,31.0,90.32258064516128,3.25,4.5
d5799345,30.0,30.0,35.0,35.0,3.0,3.0,1.0,0.0,1.0,8.0,75.0,2.5,3.75
d5981466,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
d7276832,0.0,40.0,40.0,30.0,7.0,2.0,3.0,0.0,3.0,15.0,60.0,2.0,3.0
d12550964,30.0,30.0,30.0,30.0,3.0,5.0,8.0,11.0,9.0,36.0,22.22222222222222,2.25,1.0
d4150215,40.0,40.0,40.0,35.0,126.0,88.0,36.0,16.0,7.0,273.0,78.3882783882784,4.0,4.0
d7952588,40.0,35.0,40.0,40.0,49.0,35.0,7.0,2.0,6.0,99.0,84.84848484848484,4.0,4.25
d719083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d5408595,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,7.0,28.57142857142857,0.0,1.5
d12391114,35.0,30.0,35.0,35.0,5.0,1.0,0.0,1.0,1.0,8.0,75.0,2.5,3.75
d7332770,45.0,40.0,45.0,45.0,1.0,1.0,0.0,0.0,0.0,2.0,100.0,3.25,5.0
d1785149,40.0,45.0,40.0,40.0,268.0,109.0,27.0,26.0,19.0,449.0,83.96436525612472,4.0,4.25
d4588301,45.0,45.0,40.0,40.0,123.0,59.0,13.0,12.0,6.0,213.0,85.44600938967136,4.25,4.25
d7123553,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d4295258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d697485,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d4353632,40.0,35.0,40.0,40.0,5.0,2.0,0.0,0.0,1.0,8.0,87.5,4.0,4.5
d1035491,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
d12676684,40.0,35.0,40.0,40.0,7.0,7.0,0.0,1.0,1.0,16.0,87.5,3.0,4.5
d11770289,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
d5587837,45.0,45.0,45.0,45.0,2.0,0.0,1.0,1.0,1.0,5.0,40.0,4.5,2.0
d813990,45.0,40.0,45.0,40.0,540.0,275.0,86.0,40.0,48.0,989.0,82.40647118301314,4.25,4.0
d2259146,45.0,45.0,40.0,45.0,1484.0,570.0,134.0,77.0,63.0,2328.0,88.23024054982818,4.5,4.5
d10073699,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,33.33333333333333,0.0,1.75
d1099373,40.0,40.0,35.0,40.0,228.0,74.0,47.0,29.0,37.0,415.0,72.77108433734941,4.0,3.75
d797017,45.0,40.0,40.0,30.0,7.0,4.0,0.0,0.0,0.0,11.0,100.0,4.0,5.0
d11687952,35.0,40.0,35.0,40.0,3.0,3.0,0.0,1.0,1.0,8.0,75.0,2.75,3.75
d1019904,40.0,40.0,40.0,35.0,17.0,17.0,5.0,1.0,1.0,41.0,82.92682926829268,4.0,4.25
d4043773,40.0,40.0,40.0,40.0,4.0,4.0,1.0,0.0,1.0,10.0,80.0,3.0,4.0
d4226084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
